"position_id","inst_id","title","responsibilities","start_date","end_date"
"1","1","Bachelor of Science in Computer Science","","2021-08-28","2025-05-4"
"2","2","Test Development Engineering Intern","Develop hardware to gather information on gear selector performance using a new protocol","2023-05-14","2023-08-15"
